Time,CO2,CO,TEMP
16:35:01,516.35,1602.09,0.00
16:35:15,664.30,1933.16,77.76
16:35:29,375.95,1024.41,76.76
16:35:43,126.69,0.00,0.00
16:36:16,126.77,0.00,0.00
16:36:30,454.04,1942.60,0.00
16:36:44,327.42,9121.13,116.25
16:36:58,601.40,1575.11,117.00
16:37:12,351.50,1084.63,122.25
16:37:26,1069.92,802.82,121.25
16:37:41,126.69,0.00,116.25
16:38:15,126.77,0.00,0.00
16:38:29,391.04,3686.78,0.00
16:38:43,524.09,993.08,100.00
16:38:57,500.13,216.24,102.75
16:39:11,211.98,154.45,103.25
16:39:25,238.84,126.76,105.25
16:39:39,403.73,91.65,107.25
16:39:53,369.60,94.67,110.25
16:40:07,206.15,83.84,110.50
16:40:21,296.24,70.69,111.75
16:40:36,267.77,65.75,111.50
16:40:50,297.43,57.17,110.75
16:41:04,423.46,53.38,110.00
16:41:18,184.04,63.29,107.75
16:41:32,172.98,58.83,108.50
16:41:46,309.47,49.31,112.25
16:42:00,185.94,55.97,117.50
16:42:14,235.90,56.74,118.50
16:42:29,302.55,43.75,117.00
16:42:43,266.86,45.62,122.75
16:42:57,295.41,42.63,125.25
16:43:11,177.27,47.78,129.00
16:43:25,181.78,44.68,128.50
16:43:39,275.86,41.32,129.75
16:43:53,185.65,43.68,131.50
16:44:08,200.73,41.52,132.00
16:44:22,209.37,45.99,131.25
16:44:36,193.88,42.28,130.25
16:44:50,343.22,37.57,133.25
16:45:04,239.43,37.01,135.75
16:45:18,295.69,35.89,138.25
16:45:32,200.54,42.14,139.00
16:45:46,182.45,39.65,138.25
16:46:00,245.67,30.88,139.50
16:46:15,186.34,36.01,143.00
16:46:29,231.12,50.40,146.50
16:46:43,260.25,58.39,149.75
16:46:57,201.22,69.08,151.50
16:47:11,252.15,80.98,152.25
16:47:25,202.10,97.77,153.25
16:47:39,256.88,120.44,148.50
16:47:53,242.27,156.55,145.75
16:48:08,216.22,207.79,142.75
16:48:22,245.21,229.20,140.25
16:48:36,196.60,244.80,138.25
16:48:50,211.58,288.12,139.50
16:49:04,221.79,298.36,136.75
16:49:18,202.10,406.54,135.25
16:49:32,184.04,416.90,132.50
16:49:47,226.65,409.22,134.75
16:50:01,289.25,415.53,133.25
16:50:15,249.89,556.75,140.50
16:50:29,207.94,892.41,142.75
16:50:43,179.93,1153.88,142.75
16:50:57,203.23,1936.11,143.00
16:51:11,208.85,2713.61,144.75
16:51:25,220.08,3686.78,147.00
16:51:39,192.56,5282.25,152.00
16:51:54,177.38,14296.56,156.75
16:52:08,187.96,37450.75,158.50
16:52:22,190.66,156871.05,155.75
16:52:36,203.99,51889.96,150.75
16:52:50,201.79,inf,146.00
16:53:04,220.90,inf,142.00
16:53:18,255.69,115216.81,135.75
16:53:32,183.76,inf,129.75
16:53:47,241.00,10771.48,126.25
16:54:01,195.99,inf,125.00
16:54:15,201.47,11114.13,121.50
16:54:29,168.75,124348.98,131.00
16:54:43,174.17,inf,140.00
16:54:57,262.03,inf,148.00
16:55:11,202.10,inf,155.25
16:55:26,167.19,371494.41,162.00
16:55:40,211.52,inf,167.00
16:55:54,186.74,21889.43,162.25
16:56:08,216.56,63745692.00,160.50
16:56:22,200.91,inf,156.00
16:56:36,211.06,6105.15,148.00
16:56:50,191.13,19927.35,146.25
16:57:04,242.49,18154.72,150.75
16:57:18,168.17,inf,159.50
16:57:33,201.10,20786.50,166.00
16:57:47,259.84,19146.35,167.50
16:58:01,348.25,8755.19,169.25
16:58:15,178.59,7086.32,172.50
16:58:29,164.67,9402.51,176.00
16:58:43,183.59,inf,189.00
16:58:57,174.92,inf,198.25
