Time	CO2	CO	TEMP
15:42:00	21474836.47	9.31	21474836.47
15:46:12	81671.0	5.58	21474836.47
15:46:16	81671.0	4.55	0.0
15:46:21	2553.73	4.17	0.0
15:46:26	79.85	7.07	0.0
15:46:31	2553.73	53.46	0.0
15:46:36	2.49	63.96	0.0
15:46:41	79.85	37.88	0.0
15:46:46	81671.0	38.57	0.0
15:46:51	0.07	28.23	0.0
15:46:56	79.85	20.93	0.0
15:47:01	79.85	19.59	0.0
15:47:07	2553.73	20.97	0.0
15:47:11	79.85	18.2	0.0
15:47:16	2.49	20.0	0.0
15:47:20	2.49	19.11	0.0
15:47:26	2.49	19.44	0.0
15:47:30	2.49	19.55	0.0
15:47:35	2.49	19.38	0.0
15:47:40	2.49	18.42	0.0
15:47:46	2.49	18.54	0.0
15:47:50	2.49	29.59	0.0
15:47:55	2.49	23.38	0.0
15:48:00	2.49	20.11	0.0
15:48:05	2.49	18.38	0.0
15:48:10	21474836.47	18.36	0.0
15:48:15	21474836.47	17.08	0.0
15:48:20	0.0	15.93	0.0
15:48:25	0.0	19.34	0.0
15:48:29	2.49	18.82	0.0
15:48:34	0.07	18.02	0.0
15:48:39	2.49	19.44	0.0
15:48:44	2.49	20.75	0.0
15:48:49	2.49	19.63	0.0
15:48:54	79.85	32.13	0.0
15:48:59	79.85	23.69	0.0
15:49:04	79.85	23.16	0.0
15:49:09	2.49	21.09	0.0
15:49:14	2.49	22.98	0.0
15:49:19	2.49	20.66	0.0
15:49:23	2.49	19.76	0.0
15:49:28	79.85	15.94	0.0
15:49:33	79.85	19.11	0.0
15:49:38	2.49	19.34	0.0
15:49:43	79.85	18.2	0.0
15:49:48	79.85	17.33	0.0
15:49:53	2.49	13.94	0.0
